horse_number,horse_name,frame,actual_running_style,actual_running_style_fixed,position_m,finish_position_m,rank,lane,gap_from_leader,nige_senko_gap,early_gap_range,final_stretch_start_progress,race_power,performance_index,mid_race_move_score,normalized_mid_race_move,final_performance_score,late_power,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,escape_fade,stalker_fade,fade_penalty,late_gain_multiplier,tie_breaker,ability_factor,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,stamina,acceleration,last3f_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,straight_attack_score,straight_ratio,pace,time,elapsed_time,progress
17,レガレイラ,8,先行,先行,373.555,373.555,9,7.0,23.769,15.201,14.0-34.0,0.75,68.507,79.338,67.98,-0.096,79.553,77.728,0.496,0.581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.713,0.0,0.34,0.314,0.719,0.671,1.0,67.084,33.999,47.435,76.358,69.428,59.132,90.414,100.0,100.0,100.0,69.599,35.1,34.0,72.611,71.905,0.0,0.0,medium,25.634,25.634,0.1806
18,ミステリーウェイ,8,先行,先行,371.074,371.074,10,7.0,26.25,15.201,14.0-34.0,0.75,43.76,58.039,61.523,-0.939,56.909,54.679,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.375,0.0,0.786,0.787,0.0,0.547,1.0,54.75,78.628,67.914,44.321,52.471,57.896,91.041,96.416,51.148,51.148,39.351,36.722500000000004,34.6,74.402,0.0,0.0,0.0,medium,25.634,25.634,0.1806
1,ダノンデサイル,1,差し,差し,349.423,349.423,11,0.22,47.901,15.201,45.0-78.0,0.75,79.175,85.766,77.052,1.0,85.881,84.179,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.504,0.49,0.875,0.757,1.0,75.688,50.404,61.018,86.447,78.438,68.879,94.142,100.0,100.0,100.0,76.887,34.9175,33.8,83.262,87.5,0.0,0.0,medium,25.634,25.634,0.1806
15,マイユニバース,7,差し,差し,347.131,347.131,12,6.22,50.193,15.201,45.0-78.0,0.75,70.558,80.631,72.565,0.502,78.996,76.238,0.441,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.592,0.592,0.512,0.683,1.0,68.346,59.235,63.335,76.051,69.472,65.94,91.919,100.0,98.956,98.956,61.54,35.1375,34.1,76.91,51.155,0.0,0.0,medium,25.634,25.634,0.1806
10,ジューンテイク,5,差し,差し,342.229,342.229,13,4.0,55.095,15.201,45.0-78.0,0.75,67.114,73.771,69.395,0.088,72.081,70.286,-0.24,-0.204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.524,0.549,0.278,0.697,1.0,69.684,52.361,61.575,76.315,69.709,64.91,90.912,84.654,89.662,89.662,57.01,34.885,33.6,74.036,27.778,0.0,0.0,medium,25.634,25.634,0.1806
13,シェイクユアハート,7,差し,差し,337.805,337.805,14,6.22,59.519,15.201,45.0-78.0,0.75,67.357,78.592,66.008,-0.353,79.129,76.992,0.454,0.504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.56,0.0,0.364,0.368,0.65,0.66,1.0,66.042,36.419,49.978,78.859,67.29,60.502,88.713,88.753,100.0,100.0,69.121,34.502500000000005,33.2,67.751,65.0,0.0,0.0,medium,25.634,25.634,0.1806
14,スティンガーグラス,7,差し,差し,336.359,336.359,15,6.0,60.965,15.201,45.0-78.0,0.75,61.121,77.264,62.767,-0.776,77.795,75.301,0.323,0.325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.042,0.0,0.355,0.406,0.577,0.563,1.0,56.321,35.5,47.696,72.838,60.683,59.12,94.244,100.0,100.0,100.0,65.633,35.1675,34.2,83.553,57.659,0.0,0.0,medium,25.634,25.634,0.1806
11,シンエンペラー,6,差し,差し,335.557,335.557,16,5.22,61.768,15.201,45.0-78.0,0.75,54.86,73.209,65.676,-0.397,72.812,69.989,-0.168,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.541,0.531,0.205,0.643,1.0,64.317,54.116,58.14,66.758,62.087,58.822,90.541,100.0,95.118,95.118,53.464,35.275,33.1,72.975,20.476,0.0,0.0,medium,25.634,25.634,0.1806
8,タガノデュード,4,追込,追込,314.753,314.753,17,3.0,82.572,15.201,75.0-115.0,0.75,71.2,81.806,67.19,-0.199,84.412,83.287,0.975,1.168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.129,0.145,0.993,0.697,1.0,69.652,12.854,39.33,81.168,70.679,54.364,94.677,100.0,100.0,100.0,81.2,34.6875,33.6,84.791,99.286,0.0,0.0,medium,25.634,25.634,0.1806
6,ビザンチンドリーム,3,追込,追込,299.109,299.109,18,2.0,98.215,15.201,75.0-115.0,0.75,58.422,76.695,58.613,-1.0,77.38,74.727,0.282,0.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.145,0.137,0.677,0.571,1.0,57.07,14.476,33.24,69.562,60.232,47.743,93.184,100.0,100.0,100.0,64.845,35.9325,34.9,80.526,67.698,0.0,0.0,medium,25.634,25.634,0.1806
16,メイショウタバル,8,逃げ,逃げ,403.289,403.289,1,7.0,1.393,15.483,0.0-8.0,0.75,74.557,75.358,78.365,1.0,70.54,67.839,-0.392,-0.462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.227,0.0,0.911,0.911,0.04,0.738,1.0,73.79,91.09,83.305,73.572,77.006,79.346,89.8,82.049,66.925,66.925,47.695,35.3675,33.1,70.858,3.968,0.0,0.0,medium,26.109,26.109,0.1839
12,マイネルエンペラー,6,逃げ,逃げ,396.682,396.682,2,5.0,8.0,15.483,0.0-8.0,0.75,52.086,66.306,63.341,-0.701,65.202,62.995,-0.918,-0.973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.562,0.562,0.107,0.595,1.0,59.477,56.177,57.662,54.631,58.345,56.261,93.933,100.0,70.967,70.967,47.763,35.975,35.1,82.667,10.714,0.0,0.0,medium,26.109,26.109,0.1839
5,クロワデュノール,3,先行,先行,387.806,387.806,3,2.22,16.876,15.483,14.0-34.0,0.75,84.154,89.408,82.827,1.0,86.224,83.44,1.0,1.184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.659,0.683,0.465,0.796,1.0,79.599,65.938,73.369,89.699,82.855,76.909,96.93,100.0,100.0,100.0,66.671,34.7825,34.2,91.228,46.508,0.0,0.0,medium,26.109,26.109,0.1839
9,コスモキュランダ,5,先行,先行,383.981,383.981,4,4.22,20.702,15.483,14.0-34.0,0.75,64.219,71.241,73.232,0.589,67.694,64.982,-0.673,-0.763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.818,0.81,0.0,0.702,1.0,70.213,81.792,76.13,63.607,69.595,70.843,90.326,89.5,70.387,70.387,45.197,35.6075,33.3,72.359,0.0,0.0,0.0,medium,26.109,26.109,0.1839
2,ミュージアムマイル,1,先行,先行,383.282,383.282,5,0.0,21.4,15.483,14.0-34.0,0.75,73.195,82.272,71.806,0.403,81.968,80.193,0.734,0.841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.425,0.425,0.719,0.695,1.0,69.454,42.507,54.633,79.713,72.364,65.101,88.763,100.0,100.0,100.0,72.105,34.505,32.3,67.894,71.905,0.0,0.0,medium,26.109,26.109,0.1839
7,ファミリータイム,4,先行,先行,381.081,381.081,6,3.22,23.602,15.483,14.0-34.0,0.75,60.592,73.6,67.283,-0.187,71.634,68.587,-0.285,-0.383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.723,0.723,0.183,0.607,1.0,60.662,72.295,67.06,66.455,60.664,65.516,90.746,94.23,86.917,86.917,52.761,35.0575,33.8,73.561,18.254,0.0,0.0,medium,26.109,26.109,0.1839
4,ミクニインスパイア,2,先行,先行,380.94,380.94,7,1.0,23.743,15.483,14.0-34.0,0.75,62.769,75.093,68.028,-0.09,72.862,70.153,-0.163,-0.218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.627,0.67,0.291,0.63,1.0,62.999,62.705,65.194,75.48,63.534,65.441,90.013,92.283,89.6,89.6,54.385,35.08,33.6,71.465,29.056,0.0,0.0,medium,26.109,26.109,0.1839
3,シュガークン,2,先行,先行,380.725,380.725,8,1.22,23.957,15.483,14.0-34.0,0.75,52.467,61.843,63.256,-0.712,60.304,58.335,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.849,0.838,0.118,0.573,1.0,57.331,84.863,71.907,50.366,57.102,65.832,88.392,79.406,58.908,58.908,46.666,35.6325,33.9,66.835,11.765,0.0,0.0,medium,26.109,26.109,0.1839
17,レガレイラ,8,先行,先行,380.473,380.473,9,7.0,24.209,15.483,14.0-34.0,0.75,68.507,79.338,67.98,-0.096,79.553,77.728,0.496,0.581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.713,0.0,0.34,0.314,0.719,0.671,1.0,67.084,33.999,47.435,76.358,69.428,59.132,90.414,100.0,100.0,100.0,69.599,35.1,34.0,72.611,71.905,0.0,0.0,medium,26.109,26.109,0.1839
18,ミステリーウェイ,8,先行,先行,377.946,377.946,10,7.0,26.736,15.483,14.0-34.0,0.75,43.76,58.039,61.523,-0.939,56.909,54.679,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.375,0.0,0.786,0.787,0.0,0.547,1.0,54.75,78.628,67.914,44.321,52.471,57.896,91.041,96.416,51.148,51.148,39.351,36.722500000000004,34.6,74.402,0.0,0.0,0.0,medium,26.109,26.109,0.1839
1,ダノンデサイル,1,差し,差し,355.894,355.894,11,0.22,48.788,15.483,45.0-78.0,0.75,79.175,85.766,77.052,1.0,85.881,84.179,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.504,0.49,0.875,0.757,1.0,75.688,50.404,61.018,86.447,78.438,68.879,94.142,100.0,100.0,100.0,76.887,34.9175,33.8,83.262,87.5,0.0,0.0,medium,26.109,26.109,0.1839
15,マイユニバース,7,差し,差し,353.559,353.559,12,6.22,51.123,15.483,45.0-78.0,0.75,70.558,80.631,72.565,0.502,78.996,76.238,0.441,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.592,0.592,0.512,0.683,1.0,68.346,59.235,63.335,76.051,69.472,65.94,91.919,100.0,98.956,98.956,61.54,35.1375,34.1,76.91,51.155,0.0,0.0,medium,26.109,26.109,0.1839
10,ジューンテイク,5,差し,差し,348.567,348.567,13,4.0,56.116,15.483,45.0-78.0,0.75,67.114,73.771,69.395,0.088,72.081,70.286,-0.24,-0.204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.524,0.549,0.278,0.697,1.0,69.684,52.361,61.575,76.315,69.709,64.91,90.912,84.654,89.662,89.662,57.01,34.885,33.6,74.036,27.778,0.0,0.0,medium,26.109,26.109,0.1839
13,シェイクユアハート,7,差し,差し,344.061,344.061,14,6.22,60.622,15.483,45.0-78.0,0.75,67.357,78.592,66.008,-0.353,79.129,76.992,0.454,0.504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.56,0.0,0.364,0.368,0.65,0.66,1.0,66.042,36.419,49.978,78.859,67.29,60.502,88.713,88.753,100.0,100.0,69.121,34.502500000000005,33.2,67.751,65.0,0.0,0.0,medium,26.109,26.109,0.1839
14,スティンガーグラス,7,差し,差し,342.588,342.588,15,6.0,62.094,15.483,45.0-78.0,0.75,61.121,77.264,62.767,-0.776,77.795,75.301,0.323,0.325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.042,0.0,0.355,0.406,0.577,0.563,1.0,56.321,35.5,47.696,72.838,60.683,59.12,94.244,100.0,100.0,100.0,65.633,35.1675,34.2,83.553,57.659,0.0,0.0,medium,26.109,26.109,0.1839
11,シンエンペラー,6,差し,差し,341.771,341.771,16,5.22,62.911,15.483,45.0-78.0,0.75,54.86,73.209,65.676,-0.397,72.812,69.989,-0.168,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.541,0.531,0.205,0.643,1.0,64.317,54.116,58.14,66.758,62.087,58.822,90.541,100.0,95.118,95.118,53.464,35.275,33.1,72.975,20.476,0.0,0.0,medium,26.109,26.109,0.1839
8,タガノデュード,4,追込,追込,320.581,320.581,17,3.0,84.101,15.483,75.0-115.0,0.75,71.2,81.806,67.19,-0.199,84.412,83.287,0.975,1.168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.129,0.145,0.993,0.697,1.0,69.652,12.854,39.33,81.168,70.679,54.364,94.677,100.0,100.0,100.0,81.2,34.6875,33.6,84.791,99.286,0.0,0.0,medium,26.109,26.109,0.1839
6,ビザンチンドリーム,3,追込,追込,304.648,304.648,18,2.0,100.034,15.483,75.0-115.0,0.75,58.422,76.695,58.613,-1.0,77.38,74.727,0.282,0.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.145,0.137,0.677,0.571,1.0,57.07,14.476,33.24,69.562,60.232,47.743,93.184,100.0,100.0,100.0,64.845,35.9325,34.9,80.526,67.698,0.0,0.0,medium,26.109,26.109,0.1839
16,メイショウタバル,8,逃げ,逃げ,410.622,410.622,1,7.0,1.419,15.764,0.0-8.0,0.75,74.557,75.358,78.365,1.0,70.54,67.839,-0.392,-0.462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.227,0.0,0.911,0.911,0.04,0.738,1.0,73.79,91.09,83.305,73.572,77.006,79.346,89.8,82.049,66.925,66.925,47.695,35.3675,33.1,70.858,3.968,0.0,0.0,medium,26.583,26.583,0.1873
12,マイネルエンペラー,6,逃げ,逃げ,404.04,404.04,2,5.0,8.0,15.764,0.0-8.0,0.75,52.086,66.306,63.341,-0.701,65.202,62.995,-0.918,-0.973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.562,0.562,0.107,0.595,1.0,59.477,56.177,57.662,54.631,58.345,56.261,93.933,100.0,70.967,70.967,47.763,35.975,35.1,82.667,10.714,0.0,0.0,medium,26.583,26.583,0.1873
5,クロワデュノール,3,先行,先行,394.857,394.857,3,2.22,17.183,15.764,14.0-34.0,0.75,84.154,89.408,82.827,1.0,86.224,83.44,1.0,1.184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.659,0.683,0.465,0.796,1.0,79.599,65.938,73.369,89.699,82.855,76.909,96.93,100.0,100.0,100.0,66.671,34.7825,34.2,91.228,46.508,0.0,0.0,medium,26.583,26.583,0.1873
9,コスモキュランダ,5,先行,先行,390.962,390.962,4,4.22,21.078,15.764,14.0-34.0,0.75,64.219,71.241,73.232,0.589,67.694,64.982,-0.673,-0.763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.818,0.81,0.0,0.702,1.0,70.213,81.792,76.13,63.607,69.595,70.843,90.326,89.5,70.387,70.387,45.197,35.6075,33.3,72.359,0.0,0.0,0.0,medium,26.583,26.583,0.1873
2,ミュージアムマイル,1,先行,先行,390.251,390.251,5,0.0,21.79,15.764,14.0-34.0,0.75,73.195,82.272,71.806,0.403,81.968,80.193,0.734,0.841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.425,0.425,0.719,0.695,1.0,69.454,42.507,54.633,79.713,72.364,65.101,88.763,100.0,100.0,100.0,72.105,34.505,32.3,67.894,71.905,0.0,0.0,medium,26.583,26.583,0.1873
7,ファミリータイム,4,先行,先行,388.009,388.009,6,3.22,24.031,15.764,14.0-34.0,0.75,60.592,73.6,67.283,-0.187,71.634,68.587,-0.285,-0.383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.723,0.723,0.183,0.607,1.0,60.662,72.295,67.06,66.455,60.664,65.516,90.746,94.23,86.917,86.917,52.761,35.0575,33.8,73.561,18.254,0.0,0.0,medium,26.583,26.583,0.1873
4,ミクニインスパイア,2,先行,先行,387.866,387.866,7,1.0,24.174,15.764,14.0-34.0,0.75,62.769,75.093,68.028,-0.09,72.862,70.153,-0.163,-0.218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.627,0.67,0.291,0.63,1.0,62.999,62.705,65.194,75.48,63.534,65.441,90.013,92.283,89.6,89.6,54.385,35.08,33.6,71.465,29.056,0.0,0.0,medium,26.583,26.583,0.1873
3,シュガークン,2,先行,先行,387.648,387.648,8,1.22,24.393,15.764,14.0-34.0,0.75,52.467,61.843,63.256,-0.712,60.304,58.335,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.849,0.838,0.118,0.573,1.0,57.331,84.863,71.907,50.366,57.102,65.832,88.392,79.406,58.908,58.908,46.666,35.6325,33.9,66.835,11.765,0.0,0.0,medium,26.583,26.583,0.1873
17,レガレイラ,8,先行,先行,387.391,387.391,9,7.0,24.65,15.764,14.0-34.0,0.75,68.507,79.338,67.98,-0.096,79.553,77.728,0.496,0.581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.713,0.0,0.34,0.314,0.719,0.671,1.0,67.084,33.999,47.435,76.358,69.428,59.132,90.414,100.0,100.0,100.0,69.599,35.1,34.0,72.611,71.905,0.0,0.0,medium,26.583,26.583,0.1873
18,ミステリーウェイ,8,先行,先行,384.818,384.818,10,7.0,27.222,15.764,14.0-34.0,0.75,43.76,58.039,61.523,-0.939,56.909,54.679,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.375,0.0,0.786,0.787,0.0,0.547,1.0,54.75,78.628,67.914,44.321,52.471,57.896,91.041,96.416,51.148,51.148,39.351,36.722500000000004,34.6,74.402,0.0,0.0,0.0,medium,26.583,26.583,0.1873
1,ダノンデサイル,1,差し,差し,362.365,362.365,11,0.22,49.675,15.764,45.0-78.0,0.75,79.175,85.766,77.052,1.0,85.881,84.179,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.504,0.49,0.875,0.757,1.0,75.688,50.404,61.018,86.447,78.438,68.879,94.142,100.0,100.0,100.0,76.887,34.9175,33.8,83.262,87.5,0.0,0.0,medium,26.583,26.583,0.1873
15,マイユニバース,7,差し,差し,359.988,359.988,12,6.22,52.052,15.764,45.0-78.0,0.75,70.558,80.631,72.565,0.502,78.996,76.238,0.441,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.592,0.592,0.512,0.683,1.0,68.346,59.235,63.335,76.051,69.472,65.94,91.919,100.0,98.956,98.956,61.54,35.1375,34.1,76.91,51.155,0.0,0.0,medium,26.583,26.583,0.1873
10,ジューンテイク,5,差し,差し,354.904,354.904,13,4.0,57.136,15.764,45.0-78.0,0.75,67.114,73.771,69.395,0.088,72.081,70.286,-0.24,-0.204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.524,0.549,0.278,0.697,1.0,69.684,52.361,61.575,76.315,69.709,64.91,90.912,84.654,89.662,89.662,57.01,34.885,33.6,74.036,27.778,0.0,0.0,medium,26.583,26.583,0.1873
13,シェイクユアハート,7,差し,差し,350.316,350.316,14,6.22,61.724,15.764,45.0-78.0,0.75,67.357,78.592,66.008,-0.353,79.129,76.992,0.454,0.504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.56,0.0,0.364,0.368,0.65,0.66,1.0,66.042,36.419,49.978,78.859,67.29,60.502,88.713,88.753,100.0,100.0,69.121,34.502500000000005,33.2,67.751,65.0,0.0,0.0,medium,26.583,26.583,0.1873
14,スティンガーグラス,7,差し,差し,348.817,348.817,15,6.0,63.223,15.764,45.0-78.0,0.75,61.121,77.264,62.767,-0.776,77.795,75.301,0.323,0.325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.042,0.0,0.355,0.406,0.577,0.563,1.0,56.321,35.5,47.696,72.838,60.683,59.12,94.244,100.0,100.0,100.0,65.633,35.1675,34.2,83.553,57.659,0.0,0.0,medium,26.583,26.583,0.1873
11,シンエンペラー,6,差し,差し,347.985,347.985,16,5.22,64.055,15.764,45.0-78.0,0.75,54.86,73.209,65.676,-0.397,72.812,69.989,-0.168,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07,0.0,0.541,0.531,0.205,0.643,1.0,64.317,54.116,58.14,66.758,62.087,58.822,90.541,100.0,95.118,95.118,53.464,35.275,33.1,72.975,20.476,0.0,0.0,medium,26.583,26.583,0.1873
8,タガノデュード,4,追込,追込,326.41,326.41,17,3.0,85.63,15.764,75.0-115.0,0.75,71.2,81.806,67.19,-0.199,84.412,83.287,0.975,1.168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.129,0.145,0.993,0.697,1.0,69.652,12.854,39.33,81.168,70.679,54.364,94.677,100.0,100.0,100.0,81.2,34.6875,33.6,84.791,99.286,0.0,0.0,medium,26.583,26.583,0.1873
6,ビザンチンドリーム,3,追込,追込,310.187,310.187,18,2.0,101.853,15.764,75.0-115.0,0.75,58.422,76.695,58.613,-1.0,77.38,74.727,0.282,0.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.338,0.0,0.145,0.137,0.677,0.571,1.0,57.07,14.476,33.24,69.562,60.232,47.743,93.184,100.0,100.0,100.0,64.845,35.9325,34.9,80.526,67.698,0.0,0.0,medium,26.583,26.583,0.1873
16,メイショウタバル,8,逃げ,逃げ,417.954,417.954,1,7.0,1.444,16.046,0.0-8.0,0.75,74.557,75.358,78.365,1.0,70.54,67.839,-0.392,-0.462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.227,0.0,0.911,0.911,0.04,0.738,1.0,73.79,91.09,83.305,73.572,77.006,79.346,89.8,82.049,66.925,66.925,47.695,35.3675,33.1,70.858,3.968,0.0,0.0,medium,27.058,27.058,0.1906
12,マイネルエンペラー,6,逃げ,逃げ,411.398,411.398,2,5.0,8.0,16.046,0.0-8.0,0.75,52.086,66.306,63.341,-0.701,65.202,62.995,-0.918,-0.973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.562,0.562,0.107,0.595,1.0,59.477,56.177,57.662,54.631,58.345,56.261,93.933,100.0,70.967,70.967,47.763,35.975,35.1,82.667,10.714,0.0,0.0,medium,27.058,27.058,0.1906
5,クロワデュノール,3,先行,先行,401.909,401.909,3,2.22,17.489,16.046,14.0-34.0,0.75,84.154,89.408,82.827,1.0,86.224,83.44,1.0,1.184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.074,0.0,0.659,0.683,0.465,0.796,1.0,79.599,65.938,73.369,89.699,82.855,76.909,96.93,100.0,100.0,100.0,66.671,34.7825,34.2,91.228,46.508,0.0,0.0,medium,27.058,27.058,0.1906
9,コスモキュランダ,5,先行,先行,397.944,397.944,4,4.22,21.454,16.046,14.0-34.0,0.75,64.219,71.241,73.232,0.589,67.694,64.982,-0.673,-0.763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.541,0.0,0.818,0.81,0.0,0.702,1.0,70.213,81.792,76.13,63.607,69.595,70.843,90.326,89.5,70.387,70.387,45.197,35.6075,33.3,72.359,0.0,0.0,0.0,medium,27.058,27.058,0.1906
2,ミュージアムマイル,1,先行,先行,397.219,397.219,5,0.0,22.179,16.046,14.0-34.0,0.75,73.195,82.272,71.806,0.403,81.968,80.193,0.734,0.841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.579,0.0,0.425,0.425,0.719,0.695,1.0,69.454,42.507,54.633,79.713,72.364,65.101,88.763,100.0,100.0,100.0,72.105,34.505,32.3,67.894,71.905,0.0,0.0,medium,27.058,27.058,0.1906
7,ファミリータイム,4,先行,先行,394.938,394.938,6,3.22,24.46,16.046,14.0-34.0,0.75,60.592,73.6,67.283,-0.187,71.634,68.587,-0.285,-0.383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.623,0.0,0.723,0.723,0.183,0.607,1.0,60.662,72.295,67.06,66.455,60.664,65.516,90.746,94.23,86.917,86.917,52.761,35.0575,33.8,73.561,18.254,0.0,0.0,medium,27.058,27.058,0.1906
4,ミクニインスパイア,2,先行,先行,394.792,394.792,7,1.0,24.606,16.046,14.0-34.0,0.75,62.769,75.093,68.028,-0.09,72.862,70.153,-0.163,-0.218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142,0.0,0.627,0.67,0.291,0.63,1.0,62.999,62.705,65.194,75.48,63.534,65.441,90.013,92.283,89.6,89.6,54.385,35.08,33.6,71.465,29.056,0.0,0.0,medium,27.058,27.058,0.1906
3,シュガークン,2,先行,先行,394.57,394.57,8,1.22,24.828,16.046,14.0-34.0,0.75,52.467,61.843,63.256,-0.712,60.304,58.335,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.669,0.0,0.849,0.838,0.118,0.573,1.0,57.331,84.863,71.907,50.366,57.102,65.832,88.392,79.406,58.908,58.908,46.666,35.6325,33.9,66.835,11.765,0.0,0.0,medium,27.058,27.058,0.1906
17,レガレイラ,8,先行,先行,394.308,394.308,9,7.0,25.09,16.046,14.0-34.0,0.75,68.507,79.338,67.98,-0.096,79.553,77.728,0.496,0.581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.713,0.0,0.34,0.314,0.719,0.671,1.0,67.084,33.999,47.435,76.358,69.428,59.132,90.414,100.0,100.0,100.0,69.599,35.1,34.0,72.611,71.905,0.0,0.0,medium,27.058,27.058,0.1906
18,ミステリーウェイ,8,先行,先行,391.689,391.689,10,7.0,27.709,16.046,14.0-34.0,0.75,43.76,58.039,61.523,-0.939,56.909,54.679,-1.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.375,0.0,0.786,0.787,0.0,0.547,1.0,54.75,78.628,67.914,44.321,52.471,57.896,91.041,96.416,51.148,51.148,39.351,36.722500000000004,34.6,74.402,0.0,0.0,0.0,medium,27.058,27.058,0.1906
1,ダノンデサイル,1,差し,差し,368.836,368.836,11,0.22,50.562,16.046,45.0-78.0,0.75,79.175,85.766,77.052,1.0,85.881,84.179,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.57,0.0,0.504,0.49,0.875,0.757,1.0,75.688,50.404,61.018,86.447,78.438,68.879,94.142,100.0,100.0,100.0,76.887,34.9175,33.8,83.262,87.5,0.0,0.0,medium,27.058,27.058,0.1906
15,マイユニバース,7,差し,差し,366.416,366.416,12,6.22,52.982,16.046,45.0-78.0,0.75,70.558,80.631,72.565,0.502,78.996,76.238,0.441,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.769,0.0,0.592,0.592,0.512,0.683,1.0,68.346,59.235,63.335,76.051,69.472,65.94,91.919,100.0,98.956,98.956,61.54,35.1375,34.1,76.91,51.155,0.0,0.0,medium,27.058,27.058,0.1906
10,ジューンテイク,5,差し,差し,361.242,361.242,13,4.0,58.156,16.046,45.0-78.0,0.75,67.114,73.771,69.395,0.088,72.081,70.286,-0.24,-0.204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.361,0.0,0.524,0.549,0.278,0.697,1.0,69.684,52.361,61.575,76.315,69.709,64.91,90.912,84.654,89.662,89.662,57.01,34.885,33.6,74.036,27.778,0.0,0.0,medium,27.058,27.058,0.1906
